symbol, date, time, open, high, low, close, volumn, 
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-29,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-26,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-25,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-24,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-23,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-22,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-19,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-18,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-17,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-16,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-15,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-12,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-11,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-10,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-09,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-08,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-05,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-04,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-03,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-02,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-05-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-28,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-27,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-26,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-25,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-24,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-21,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-20,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-19,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-18,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-17,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-14,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-13,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-12,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-11,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-10,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-07,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-06,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-05,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-04,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-04-03,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-31,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-30,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-29,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-28,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-27,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-24,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-23,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-22,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-21,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-20,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-17,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-16,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-15,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-14,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-13,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-10,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-09,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-08,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-07,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-06,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-03,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-02,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-03-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-29,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-28,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-25,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-24,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-23,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-22,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-21,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-18,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-17,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-16,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-15,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-14,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-11,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-10,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-09,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-08,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-07,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-04,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-03,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-02,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-02-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-31,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-28,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-27,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-26,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-25,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-24,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-21,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-20,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-19,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-18,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-17,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-14,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-13,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-12,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-11,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-10,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-07,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-06,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-05,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-04,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2016-01-03,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-31,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-30,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-29,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-28,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-27,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-24,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-23,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-22,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-21,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-20,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-17,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-16,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-15,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-14,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-13,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-10,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-09,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-08,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-07,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-06,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-03,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-02,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-12-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-11-30,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-11-29,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-11-26,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2010-10-10,11:14:34,100.00,100.00,100.00,100.00,10000
4130,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
4130,2015-11-25,00:00:00,100.00,100.00,100.00,100.00,10000
